ds,yhat,yhat_lower,yhat_upper,Actual Sales
2017-01-27,10767.505354669956,-5573.2676459547765,26865.338740206284,14980.41
2017-01-28,2019.2576579989109,-13636.761465384088,18150.067804923638,5712.18
2017-01-29,2994.9092622871212,-12090.192788300848,18876.812771116536,6838.44
2017-01-30,12849.602856788388,-2816.375859700384,29258.320487866633,25881.78
2017-01-31,12905.8422312363,-2774.166012966474,28407.246221839207,15218.210000000001
2017-02-01,11319.15672606832,-4996.022627951633,27253.7245182969,9445.710000000001
2017-02-02,10721.71094653295,-6383.788882736731,27026.680768533624,11419.72
2017-02-03,10304.75056384325,-6314.035043899695,25915.07252082851,11335.75
2017-02-04,1781.0587049241585,-13820.502285714301,17118.275225938836,13295.71
2017-02-05,3001.4105063362695,-13676.090531270802,18314.806652255127,11632.43
2017-02-06,13112.902883621098,-3169.3293431859993,28419.90961109894,10633.6
2017-02-07,13430.177421500084,-1114.7114615962735,29054.78880652517,20573.83
2017-02-08,12101.279938256432,-3299.7078978107975,26655.17215177668,15069.06
2017-02-09,11751.446790749213,-3656.7309670276077,26426.3830621203,11527.45
2017-02-10,11565.704784515956,-4017.594817219963,26580.79850486206,16092.41
2017-02-11,3251.4559401169718,-12048.962986584187,18521.41619648313,5987.15
2017-02-12,4655.032215283936,-10217.630995663778,20628.389133854558,16537.72
2017-02-13,14920.095579113606,-264.7330008335649,30705.246104764934,15069.46
2017-02-14,15358.900582243708,-32.86203448589028,30428.53920142768,16020.35
2017-02-15,14118.162761526279,-2123.706850510818,29511.45009761282,8071.38
2017-02-16,13822.824297800267,-2199.87360224661,30102.363064330348,7660.76
2017-02-17,13658.604930161187,-2103.615718146364,29991.611520849237,11410.4
2017-02-18,5334.511977346292,-10236.447742455888,20935.10132791722,10904.1
2017-02-19,6699.297503400117,-8958.861370636889,22558.732997854302,4468.01
2017-02-20,16899.741550147093,2444.06437545833,33593.92177124869,9757.28
2017-02-21,17251.782488765195,1275.971793862263,32983.17499034463,9356.72
2017-02-22,15906.24234820426,276.69972789425634,30994.213042994772,8000.97
2017-02-23,15492.442503495446,-471.7317678343703,31606.086253539695,13475.09
2017-02-24,15200.602748689991,-800.4410531032228,30689.515105239887,9617.62
2017-02-25,6744.201819462993,-8704.7381017744,22600.196630252103,6115.75
2017-02-26,7976.291732321646,-7998.891364214339,23689.148167307452,6032.84
2017-02-27,18047.648847005254,2660.7226940887713,33182.19392361273,8663.22
2017-02-28,18277.786287223138,3299.790713023073,34503.916580331366,15295.83
2017-03-01,16820.57867163886,623.7450240459169,32667.533771632807,18453.88
2017-03-02,16307.797064995117,-52.77876086771648,31729.18541198761,13693.47
2017-03-03,15931.449077268328,-403.04914958550717,31757.11724351564,15532.47
2017-03-04,7406.103414093755,-8427.36883696955,22497.877534800667,12417.39
2017-03-05,8585.191796858404,-6349.919067044291,23781.419605960837,9656.47
2017-03-06,18619.171021934882,2803.3024890898346,33711.108267218784,12377.98
2017-03-07,18826.568984443278,3354.051353798206,34582.04990366214,18422.68
2017-03-08,17359.664122574548,975.3066705494726,32927.6832738167,16268.28
2017-03-09,16848.09439899789,1189.4596947238456,33395.02560271051,18977.95
2017-03-10,16481.287711537425,1665.958172090524,30805.695981051762,16350.41
2017-03-11,7970.890523268474,-7716.820976872634,23557.85647023855,14642.85
2017-03-12,9167.184045036905,-5961.374263221054,25338.092861971156,7944.12
2017-03-13,19217.367192581583,3723.909622036303,36311.29584273281,19586.86
2017-03-14,19436.72640016543,4044.0120800771797,36090.77539189381,21197.75
2017-03-15,17974.438010710477,1593.028942727407,32799.503560228244,19790.71
2017-03-16,17457.29539913813,898.0892454661166,32984.05046330678,24002.62
2017-03-17,17072.249650413763,1533.399225332477,33098.700681425944,16038.01
2017-03-18,8528.936813687811,-7169.475556543296,24596.64778961163,18846.64
2017-03-19,9676.178371390717,-5362.529528558983,25591.419471446105,8344.73
2017-03-20,19660.331591354938,3588.5927931756437,36767.42774598322,22572.98
2017-03-21,19796.507833835,2917.0737168817577,35605.3810171241,14659.43
2017-03-22,18234.40306763744,791.9344470589484,34176.04522041235,19747.3
2017-03-23,17602.031866987054,1921.4088434023254,34192.26822585227,26137.32
2017-03-24,17088.25342562964,566.981719411859,33926.922466130585,13187.19
2017-03-25,8405.262926741962,-8338.06680997539,24485.66772594152,14099.12
2017-03-26,9405.035814357607,-6921.096335100802,24829.71665299425,8104.71
2017-03-27,19237.603101484405,3996.5504683961058,35073.93238951515,20323.12
2017-03-28,19222.177771604915,4001.9435779388064,35417.99603036748,16092.64
2017-03-29,17512.878971955637,2348.688010560313,33540.11516308736,11677.31
2017-03-30,16742.34810790291,1863.4403947796284,32369.524092016876,13249.289999999999
2017-03-31,16104.149084443443,-68.91005128601356,32574.383206532795,14335.98
2017-04-01,7315.126620277357,-8319.977692403832,22495.550622439012,19140.26
2017-04-02,8231.719286239604,-7817.297776354822,23434.24595858771,17930.44
2017-04-03,18008.103380588884,3281.229934746979,32780.40140294391,12516.04
2017-04-04,17967.194007124053,885.773751340384,32577.395192716343,16373.4
2017-04-05,16266.252873860878,545.8493415058939,32330.630968577752,20681.67
2017-04-06,15540.4000721961,-305.55994131437905,31700.942315246528,20672.85
2017-04-07,14984.924369652164,-817.5056652843297,30863.295966072594,16111.65
2017-04-08,6317.571203207359,-9028.981240736844,21853.890109432785,9642.32
2017-04-09,7394.801467008983,-8906.389014947677,22928.730614388238,10406.13
2017-04-10,17369.904335532523,1788.5888077127718,32752.871801550038,14240.6
2017-04-11,17563.988711710525,2165.385563304677,33807.609225990236,10196.91
2017-04-12,16131.60384460558,583.9619198967995,32182.733596484723,9415.52
2017-04-13,15704.286288926352,-389.28844784997443,31496.688966873415,12476.960000000001
2017-04-14,15472.927098576632,-2114.566264024015,30692.257263510754,8457.22
2017-04-15,7150.137266566334,-8539.182209206143,23097.286994259466,8872.04
2017-04-16,8586.60282778577,-7142.355429812588,25301.476865407465,6719.37
2017-04-17,18929.310728463704,2364.3922129084262,34454.70406326893,9334.48
2017-04-18,19492.667509644292,4192.951755038584,35974.990445625845,26631.78
2017-04-19,18424.25846372644,3202.725207025572,33921.339213195795,17015.4
2017-04-20,18348.541280741018,2881.104332225462,33485.204377560345,17002.56
2017-04-21,18449.36472455251,2499.775214793621,34674.387174754644,12622.14
2017-04-22,10440.6182116143,-5403.569605447467,25946.207136501984,17383.48
2017-04-23,12158.34358041917,-4266.408147143192,28017.297476752592,12245.96
2017-04-24,22743.49996625996,7142.230482444104,38026.14433691009,17852.58
2017-04-25,23505.087249180142,6536.98559065888,40441.52162502618,17771.32
2017-04-26,22586.029250449777,7561.063927493687,38251.0077807047,20326.62
2017-04-27,22606.976528903768,6160.589391108599,37887.005801797786,14824.74
2017-04-28,22748.916818009482,7496.654784280483,38498.08613907601,20424.66
2017-04-29,14715.765543270063,-528.3224084816429,29746.06897627807,17237.27
2017-04-30,16350.92266948975,764.1097901421127,32993.307122260005,9931.39
2017-05-01,26795.672336554908,10598.533029218057,43191.34439569774,15117.52
2017-05-02,27360.443311199477,10950.740309267385,42733.950882623496,21977.98
2017-05-03,26190.67460778239,10564.617022167058,41937.724830510735,13057.06
2017-05-04,25910.57777151698,9210.576034493142,42146.726427621616,19595.76
2017-05-05,25705.684678797348,10045.984939420174,41121.27039184699,18126.11
2017-05-06,17285.354584459496,1050.9881243784273,33326.465349564736,19639.71
2017-05-07,18499.228400308086,2031.9003345336582,32981.46021266614,19920.62
2017-05-08,28495.508802849523,12798.425722162669,43401.64894999415,24515.73
2017-05-09,28592.086691683027,13448.375081040427,44489.128356033274,35157.97
2017-05-10,26942.26114590682,11898.557866881649,42954.00307406215,31732.69
2017-05-11,26178.347403492793,11406.167377494377,43530.050107253555,25519.03
2017-05-12,25494.064923183952,9887.384232400222,40985.46900222059,15909.59
2017-05-13,16606.88256775285,1058.4656495651345,32491.817938958255,11102.21
2017-05-14,17374.31234564145,1007.2491532779648,34318.280200358866,18898.44
2017-05-15,26952.033074336658,12047.022580958164,43675.999706512295,27751.33
2017-05-16,26664.868782656056,11314.01115788626,42344.6839408665,29858.53
2017-05-17,24672.37095156673,8418.699547455964,39729.08169238572,23739.62
2017-05-18,23612.302475732653,8032.748543627403,40159.4101735307,27507.57
2017-05-19,22682.91782712038,8295.321142484603,38437.68784730174,29524.32
2017-05-20,13605.218658255708,-2009.3445527712302,29604.193905399883,13735.34
2017-05-21,14239.177998448024,-2120.7129910545027,29867.222298604338,21953.89
2017-05-22,23741.816368262367,7665.638280410577,39700.681528114175,29658.95
2017-05-23,23438.154524898913,7273.346213683785,39422.01138708655,22787.54
2017-05-24,21486.79355984398,5550.633875159101,37709.59507942571,30162.29
2017-05-25,20523.419760859826,4418.272735656714,37103.428849812124,20637.66
2017-05-26,19743.12844393801,5209.399786374596,35617.611177581,14965.72
2017-05-27,10862.745158089587,-4171.379563152209,27378.639457450692,20966.21
2017-05-28,11737.136149817068,-4045.949101674802,27446.69838159915,12767.72
2017-05-29,21517.38973827132,4901.054893423195,36655.7639493879,22436.21
2017-05-30,21521.8912657736,5813.220473789509,37372.31738695281,22780.64
2017-05-31,19902.039961653718,3600.474533707923,35461.32552865528,25641.84
2017-06-01,19285.902458599685,2911.436241804392,34827.48235429132,22184.86
2017-06-02,18860.69425528511,3991.2658708109916,34650.109211625575,21558.95
2017-06-03,10335.264431701271,-5504.552149566903,26102.7353887156,18543.93
2017-06-04,11556.572281003288,-2452.6706876150806,26528.064185063773,15638.25
2017-06-05,21668.03404858133,5805.130810761349,38789.182458191666,29602.37
2017-06-06,21980.760006070712,5475.935587353432,37074.18446315874,17795.09
2017-06-07,20639.42524613569,3578.735356899572,36976.36257728737,16851.48
2017-06-08,20266.067532836554,4337.005293131366,35568.15903572894,30185.78
2017-06-09,20042.699700225705,5049.158900448926,35998.246411117405,21469.24
2017-06-10,11673.909366990294,-4063.8281647059102,26506.784672538546,10333.99
2017-06-11,13003.432205248952,-2725.470859052268,27938.30218479137,19294.489999999998
2017-06-12,23172.57503329549,7989.437543948915,38456.59960964315,28239.33
2017-06-13,23491.50638430822,8389.832368175297,39528.58387938292,18276.24
2017-06-14,22105.158345372125,5634.880670952169,37804.97543785001,28251.11
2017-06-15,21637.030419049985,6193.564272065236,36995.46716457055,15909.39
2017-06-16,21271.783352055172,4063.102823550141,36730.44354047454,15395.81
2017-06-17,12717.795596134156,-2606.5686564738244,27550.820957487722,14435.26
2017-06-18,13823.669188092354,-2371.529523662422,29186.920614318893,19107.07
2017-06-19,23736.562343473524,6564.97889061203,40659.626924050324,30019.73
2017-06-20,23773.367905269806,8034.724533044336,40102.44293924532,22598.25
2017-06-21,22086.483374092688,5460.169762625603,38161.486585606544,7719.5
2017-06-22,21307.465617579423,5085.490449966573,37324.970633158504,11436.23
2017-06-23,20629.460925667398,4805.027570566225,36566.34548981665,16399.16
2017-06-24,11769.58612873833,-3014.332635697514,28329.78404911546,11410.76
2017-06-25,12585.250895972855,-3506.6495408829364,27549.260235882455,20713.0
2017-06-26,22232.302057375753,6343.943677702398,37743.84179940653,17774.64
2017-06-27,22036.012756547236,5759.447441540829,37312.423216466,22780.75
2017-06-28,20156.666142360416,4854.121157469546,35759.136408493854,21563.75
2017-06-29,19233.030116103157,3019.766479547505,34762.15752199036,16397.26
2017-06-30,18464.617928567503,2758.4432163440647,33438.99896082237,15709.42
2017-07-01,9573.913759949202,-6282.531781826112,25453.156532245175,17436.41
2017-07-02,10422.556837061118,-4865.146316915698,26946.482458821607,15638.42
2017-07-03,20169.3680500912,3945.442409126074,35772.39411938719,21416.33
2017-07-04,20141.244683627312,4149.229343791752,36078.132957832255,19111.15
2017-07-05,18498.675135544894,2403.9011340573256,34181.68692671772,28146.16
2017-07-06,17879.172415470046,2401.562587226178,33681.825009511034,28881.98
2017-07-07,17479.522205448982,3019.797546414405,32370.109546785512,19446.4
2017-07-08,9018.025626218125,-6941.577879564683,24664.904629352786,12500.56
2017-07-09,10350.730458562459,-4724.04050346008,26259.161946475728,11235.6
2017-07-10,20629.53441228185,3885.87225902166,36575.37037368631,26786.61
2017-07-11,21173.185080222935,4555.054546349744,37421.67062398073,28251.15
2017-07-12,20132.926871078307,4804.926939273004,36228.4999441692,25064.8
2017-07-13,20136.09154946501,4007.432474659439,35807.07576751242,22216.3
2017-07-14,20368.525452147966,4097.069105531805,34996.66881063097,25254.55
2017-07-15,12537.030301610224,-2929.272557509221,28897.755831746217,16087.56
2017-07-16,14485.807693303135,-824.6643210938801,30222.350301757255,22391.19
2017-07-17,25354.78679035469,8234.980033460657,40110.71589042915,32843.26
2017-07-18,26450.855496742086,10707.130297540034,41942.519463536475,40502.54
2017-07-19,25913.740811329557,10859.843969229614,42470.153243748566,28887.64
2017-07-20,26359.830650347223,10695.455914791852,41505.70962774722,27914.79
2017-07-21,26964.823548499444,11553.726050347868,41926.171509509724,24964.36
2017-07-22,19426.38227034167,3032.798059160958,35345.35934961697,17517.48
2017-07-23,21580.77308046253,4715.44221930723,38740.403889471854,13850.93
2017-07-24,32561.367847257545,17405.981208534457,49266.034741241536,25491.84
2017-07-25,33670.02497252554,17801.715061540664,48382.3249708123,25541.25
2017-07-26,33043.09140319296,16139.823174331685,48528.71169178765,17508.62
2017-07-27,33295.31472087489,17167.296644772832,49036.96977774108,22915.7
2017-07-28,33602.55131560381,18017.835698048442,49545.900933886776,30065.16
2017-07-29,25664.4412367551,8990.264814210557,40810.56662656833,21550.27
2017-07-30,27321.034348990637,10670.92152112358,40957.46264816088,17925.33
2017-07-31,37711.24289200813,21236.845136389922,54426.99363216692,23824.49
2017-08-01,38144.137403768065,22711.87190415187,53904.486768209834,33950.55
2017-08-02,36764.82961428478,19618.905751041748,52840.10338696459,25908.66
2017-08-03,36198.23340036296,19113.38957573089,51277.65148452521,24412.23
2017-08-04,35631.592613324356,19220.797248920895,51134.645401739144,25640.13
2017-08-05,26776.949836867352,11790.915892371298,42573.16187093528,15505.39
2017-08-06,27487.544759249286,13013.204984307444,44433.676102993835,17509.28
2017-08-07,36916.0218246826,22025.454053541187,51892.86399567252,32846.99
2017-08-08,36385.469106206176,20406.357317147576,52921.04451355073,24932.19
2017-08-09,34055.0372989804,19145.255528894824,50468.14174168319,32560.35
2017-08-10,32563.435412974384,17224.273394808915,48558.23412660444,27841.45
2017-08-11,31853.02359125839,14828.155298324155,47024.872398483276,27331.63
2017-08-12,22906.552374875246,6858.4460552005285,37486.72249940818,19350.17
2017-08-13,23588.802944894902,6708.379387378272,38663.11649628551,19283.6
2017-08-14,33062.75255093904,18335.441681091917,48039.4459979297,25283.36
2017-08-15,32660.42195657254,16977.21297896657,48124.74607151794,30416.72
2017-08-16,30548.331865591255,14143.87713156091,45727.72583699555,33257.93
2017-08-17,29370.868405685604,14064.422744457697,43997.750319700914,24246.99
2017-08-18,28332.45483935127,13182.408263819065,43474.73208420772,22848.03
2017-08-19,19159.711097040003,3980.117485557491,36029.40483368438,18748.15
2017-08-20,19717.596358042,4355.712960063844,34571.57462300655,17327.87
2017-08-21,29167.419733926497,13127.283591269113,45371.341879916035,34064.78
2017-08-22,28837.745105806738,12984.127901704265,44877.1566093907,23294.42
2017-08-23,26889.941741595372,11068.719785663076,42057.84382572493,74270.01000000001
2017-08-24,25961.678547078533,10906.97732044645,41544.71996634243,18290.79
2017-08-25,25249.25611415744,10011.520806081719,42102.9667364371,19093.5
2017-08-26,16469.954436697117,986.9468976088793,32327.216475364778,12700.24
2017-08-27,17478.387162673902,1733.3181786285213,33992.1010066499,18264.07
2017-08-28,27424.742549763938,11195.600225069767,43419.9637824293,28924.79
2017-08-29,27625.93187028585,10739.614245189146,43849.732549737186,40635.51
2017-08-30,26231.391295847072,10871.120043060077,42254.618088360774,36537.32
2017-08-31,25866.82936013109,10023.54092722801,42618.088010343214,29802.55
2017-09-01,25716.808387632984,8961.039446027984,41030.009688087346,37631.44
2017-09-02,17487.332098610263,741.1871346174302,32966.90135408455,24534.43
2017-09-03,19022.42486585932,2114.715469486722,35651.81966857763,42155.07
2017-09-04,29462.57775162273,12588.781055588626,45908.24626447908,31030.56
2017-09-05,30116.077580445675,13567.145505023944,46062.86485761239,30447.5
2017-09-06,29124.961173710155,13486.050520133846,45099.095201154814,33580.48
2017-09-07,29108.88366442301,12230.31368455186,45207.14277121381,21758.14
2017-09-08,29247.786886786824,12986.680118569464,45140.13111813021,20126.76
2017-09-09,21244.538506535293,5693.806433039396,35757.8955245116,21020.02
2017-09-10,22941.526694530257,6666.2306786408435,39397.924646730724,23662.11
2017-09-11,33479.085727364385,17266.71284802174,48799.05917454128,30070.79
2017-09-12,34166.7698751156,17582.22933402233,49634.22241115244,60091.46
2017-09-13,33149.21969539612,16942.651198753698,46847.898044190326,36445.74
2017-09-14,33049.91243986633,16904.2072639679,49095.921630582525,33696.51
2017-09-15,33053.68608915931,17179.53544473777,49612.08808178775,23692.08
2017-09-16,24869.21184411633,9359.113087818992,40651.25826839655,23335.74
2017-09-17,26345.40456775004,10399.931802706957,40413.975671701824,24837.21
2017-09-18,36629.65166257175,20978.571440690113,53164.274902539226,43976.0
2017-09-19,37038.88311616619,21057.0119209397,51982.57097482309,30929.2
2017-09-20,35725.2323422174,19544.568521719888,51904.86089473677,28727.63
2017-09-21,35319.58501666653,20280.73408489536,50483.787778630554,26894.079999999998
2017-09-22,35013.91076334833,19592.53281176887,51758.124224388994,23635.01
2017-09-23,26523.557556365315,9675.062571185641,42315.909008853305,14399.7
2017-09-24,27703.502874292226,11552.075361614443,42537.7570433827,19566.68
2017-09-25,37706.44648896254,21885.297184908854,53154.37338472776,25445.329999999998
2017-09-26,37853.77033051123,21848.502526521843,54149.59724230251,27777.01
2017-09-27,36301.11838508351,20664.866693270786,52293.91004899957,33694.72
2017-09-28,35681.89530361158,20322.257005898704,51274.84113930914,39587.29
2017-09-29,35189.57959573182,19399.368820796,50367.21168299086,136905.1
2017-09-30,26540.03133165907,10859.450547236373,43053.51133377404,15898.91
2017-10-01,27587.78761396395,10877.82033175555,44375.18008611961,24979.91
2017-10-02,37484.22864334877,21541.444132226556,53050.034922917446,47594.39
2017-10-03,37548.63796339274,21939.62579116911,52353.06679054495,32878.81
2017-10-04,35933.90585256438,20476.676424467,51294.86295718766,27140.68
2017-10-05,35270.17091674477,18620.838525790197,51230.40931958262,47005.3
2017-10-06,34747.291158880034,18578.064116011283,51162.69793104312,26055.41
2017-10-07,26077.31948689733,10727.66281106464,40908.37208717689,21773.08
2017-10-08,27110.971662221553,11571.933321049442,43526.144517249646,22687.68
2017-10-09,36995.964103405655,20214.08188141344,53958.24198009829,39623.59
2017-10-10,37048.239720037694,21093.3741972361,52675.36611590606,34208.59
2017-10-11,35417.82548933678,18319.00551259208,51478.74192045527,26042.66
2017-10-12,34732.61187352982,19109.151614497336,50005.3714376484,28475.55
2017-10-13,34180.940844843644,19371.19722287912,49756.336134152065,31760.920000000002
2017-10-14,25474.173543442448,8912.831451375414,41938.32898542518,17071.36
2017-10-15,26463.22232681026,10482.277327603344,41805.833427818136,24554.87
2017-10-16,36296.92209129435,20889.17444919189,51406.13138146887,39849.840000000004
2017-10-17,36293.257846336506,21507.17345975931,51805.85978116619,57995.85
2017-10-18,34605.19080136875,18007.683073318374,49794.65619980893,41192.57
2017-10-19,33864.374133024765,17769.697074278687,48776.15031724632,30458.72
2017-10-20,33263.64604552235,17687.233469128765,48395.68801000303,23364.1
